2017-01-17T09:20:30,ToiletMove,ON,100
2017-01-17T09:20:47,CorridorFrontMove,OFF,0
2017-01-17T09:21:15,CorridorMove,OFF,0
2017-01-17T09:27:17,ToiletMove,OFF,0
2017-01-17T09:27:38,CorridorMove,ON,100
2017-01-17T09:27:44,CorridorMove,OFF,0
2017-01-17T09:27:48,Kettle,ON,100
2017-01-17T09:27:54,Radio,ON,100
2017-01-17T09:28:14,CupboardKitchen6,ON,100
2017-01-17T09:28:14,CupboardKitchen6,OFF,0
2017-01-17T09:30:25,Kettle,OFF,0
2017-01-18T09:17:04,LightBedroom,ON,100
2017-01-18T09:20:14,LightBedroom,OFF,0
2017-01-18T09:20:37,CorridorMove,ON,100
2017-01-18T09:20:37,CorridorFrontMove,ON,100
2017-01-18T09:20:37,BedroomDoor,OFF,0
2017-01-18T09:20:37,ToiletMove,ON,100
2017-01-18T09:20:54,CorridorMove,OFF,0
2017-01-18T09:20:54,CorridorFrontMove,OFF,0
2017-01-18T09:26:25,ToiletMove,OFF,0
2017-01-18T09:26:56,CorridorMove,ON,100
2017-01-18T09:26:56,CorridorFrontMove,ON,100
2017-01-18T09:27:08,CorridorMove,OFF,0
2017-01-18T09:27:09,CorridorFrontMove,OFF,0
2017-01-18T09:27:17,Radio,ON,100
2017-01-18T09:27:24,CupboardKitchen6,ON,100
2017-01-18T09:27:25,CupboardKitchen6,OFF,0
2017-01-18T09:27:33,Kettle,ON,100
2017-01-18T09:33:23,Kettle,OFF,0
2017-01-19T09:21:02,LightBedroom,ON,100
2017-01-19T09:24:18,LightBedroom,OFF,0
2017-01-19T09:24:33,BedroomDoor,ON,100
2017-01-19T09:24:33,CorridorFrontMove,ON,100
2017-01-19T09:24:33,CorridorMove,ON,100
2017-01-19T09:24:52,BedroomDoor,OFF,0
2017-01-19T09:24:52,ToiletMove,ON,100
2017-01-19T09:24:52,CorridorFrontMove,OFF,0
2017-01-19T09:24:52,CorridorMove,OFF,0
2017-01-19T09:28:34,ToiletMove,OFF,0
2017-01-19T09:29:46,CorridorMove,ON,100
2017-01-19T09:29:46,CorridorFrontMove,ON,100
2017-01-19T09:29:46,KitchenDoor,ON,100
2017-01-19T09:29:46,KitchenDoor,OFF,0
2017-01-19T09:29:56,CorridorMove,OFF,0
2017-01-19T09:29:56,CorridorFrontMove,OFF,0
2017-01-19T09:30:00,Kettle,ON,100
2017-01-19T09:30:22,CupboardKitchen6,ON,100
2017-01-19T09:30:41,CupboardKitchen6,OFF,0
2017-01-19T09:33:22,Kettle,OFF,0
2017-01-20T09:17:32,LightBedroom,ON,100
2017-01-20T09:21:10,LightBedroom,OFF,0
2017-01-20T09:21:41,BedroomDoor,ON,100
2017-01-20T09:21:41,CorridorMove,ON,100
2017-01-20T09:21:41,CorridorFrontMove,ON,100
2017-01-20T09:21:41,BedroomDoor,OFF,0
2017-01-20T09:21:41,ToiletMove,ON,100
2017-01-20T09:22:12,CorridorMove,OFF,0
2017-01-20T09:22:12,CorridorFrontMove,OFF,0
2017-01-20T09:27:03,ToiletMove,OFF,0
2017-01-20T09:27:10,CorridorMove,ON,100
2017-01-20T09:27:10,CorridorFrontMove,ON,100
2017-01-20T09:27:18,CorridorMove,OFF,0
2017-01-20T09:27:18,CorridorFrontMove,OFF,0
2017-01-20T09:27:18,Kettle,ON,100
2017-01-20T09:27:30,Radio,ON,100
2017-01-20T09:29:28,CupboardKitchen6,ON,100
2017-01-20T09:29:53,CupboardKitchen6,OFF,0
2017-01-20T09:30:51,Kettle,OFF,0
2017-01-23T09:17:28,LightBedroom,ON,100
2017-01-23T09:19:49,LightBedroom,OFF,0
2017-01-23T09:20:21,BedroomDoor,ON,100
2017-01-23T09:20:39,CorridorFrontMove,ON,100
2017-01-23T09:20:39,CorridorMove,ON,100
2017-01-23T09:20:39,BedroomDoor,OFF,0
2017-01-23T09:20:43,ToiletMove,ON,100
2017-01-23T09:20:50,CorridorFrontMove,OFF,0
2017-01-23T09:20:50,CorridorMove,OFF,0
2017-01-23T09:26:17,ToiletMove,OFF,0
2017-01-23T09:27:07,CorridorMove,ON,100
2017-01-23T09:27:13,CorridorMove,OFF,0
2017-01-23T09:27:13,Kettle,ON,100
2017-01-23T09:27:37,Radio,ON,100
2017-01-23T09:27:56,CupboardKitchen6,ON,100
2017-01-23T09:27:56,CupboardKitchen6,OFF,0
2017-01-23T09:28:56,CupboardKitchen6,ON,100
2017-01-23T09:28:56,CupboardKitchen6,OFF,0
2017-01-23T09:31:15,Kettle,OFF,0
2017-01-24T09:16:55,LightBedroom,ON,100
2017-01-24T09:19:43,LightBedroom,OFF,0
2017-01-24T09:19:43,BedroomDoor,ON,100
2017-01-24T09:19:52,CorridorFrontMove,ON,100
2017-01-24T09:20:07,CorridorMove,ON,100
2017-01-24T09:20:30,ToiletMove,ON,100
2017-01-24T09:20:50,CorridorFrontMove,OFF,0
2017-01-24T09:20:50,CorridorMove,OFF,0
2017-01-24T09:24:48,ToiletMove,OFF,0
2017-01-24T09:26:30,CorridorMove,ON,100
2017-01-24T09:26:30,CorridorFrontMove,ON,100
2017-01-24T09:26:46,CorridorMove,OFF,0
2017-01-24T09:26:46,CorridorFrontMove,OFF,0
2017-01-24T09:27:00,Kettle,ON,100
2017-01-24T09:27:08,Radio,ON,100
2017-01-24T09:27:16,CupboardKitchen6,ON,100
2017-01-24T09:27:24,CupboardKitchen6,OFF,0
2017-01-24T09:28:46,Kettle,OFF,0
2017-01-25T09:18:28,LightBedroom,ON,100
2017-01-25T09:20:26,LightBedroom,OFF,0
2017-01-25T09:20:46,BedroomDoor,ON,100
2017-01-25T09:20:46,CorridorFrontMove,ON,100
2017-01-25T09:20:46,CorridorMove,ON,100
2017-01-25T09:20:46,BedroomDoor,OFF,0
2017-01-25T09:20:50,ToiletMove,ON,100
2017-01-25T09:20:58,CorridorFrontMove,OFF,0
2017-01-25T09:20:58,CorridorMove,OFF,0
2017-01-25T09:24:25,ToiletMove,OFF,0
